path,ai_tool,platform,hidden,scope,category,sent_to_llm,approx_tokens,read_write,survives_compaction,cacheable,loaded_when,path_args,description
%APPDATA%\Claude\claude_desktop_config.json,claude-desktop,windows,no,global,config,no,0,rw,n/a,n/a,app-start,,MCP server configuration
%LOCALAPPDATA%\Packages\Claude_pzs8sxrjxfjjc\LocalCache\Roaming\Claude\claude_desktop_config.json,claude-desktop,windows,no,global,config,no,0,rw,n/a,n/a,app-start,,MSIX virtualized actual read path (Windows)
%USERPROFILE%\.claude\CLAUDE.md,claude-code,windows,no,global,instructions,yes,100-2000,rw,yes,yes,every-call,,Global instructions for all projects
%USERPROFILE%\.claude\settings.json,claude-code,windows,no,global,config,no,0,rw,n/a,n/a,session-start,,Global user settings
%USERPROFILE%\.claude\.credentials.json,claude-code,windows,no,global,credentials,no,0,read,n/a,n/a,session-start,,API credentials (Windows)
%USERPROFILE%\.claude\projects\{project}\memory\MEMORY.md,claude-code,windows,no,project,memory,yes,100-3000,rw,yes,yes,every-call,{project}=path-with-slashes-to-hyphens,Auto-memory entrypoint
{project-root}/CLAUDE.md,claude-code,all,no,project,instructions,yes,100-5000+,rw,yes,yes,every-call,,Project instructions (commit to git)
{project-root}/CLAUDE.local.md,claude-code,all,no,project,instructions,yes,100-1000,rw,yes,yes,every-call,,Personal project overrides (.gitignore'd)
{project-root}/.claude/CLAUDE.md,claude-code,all,yes,project,instructions,yes,100-5000+,rw,yes,yes,every-call,,Alternative project instructions location
{project-root}/.claude/settings.json,claude-code,all,yes,project,config,no,0,rw,n/a,n/a,session-start,,"Project settings (shared, committed)"
{project-root}/.claude/settings.local.json,claude-code,all,yes,project,config,no,0,rw,n/a,n/a,session-start,,Personal project settings (not committed)
{project-root}/.claude/commands/{command}.md,claude-code,all,yes,project,commands,on-demand,50-500,rw,n/a,n/a,on-invoke,{command},Project slash commands
{project-root}/.claude/skills/{skill}/SKILL.md,claude-code,all,yes,project,skills,partial,50-100,rw,yes,yes,description-always;body-on-demand,{skill},Project skills
{project-root}/.claude/agents/{agent}.md,claude-code,all,yes,project,agent,yes,200-500,rw,yes,yes,every-call,"{agent}=e.g. code-reviewer,security-auditor",Subagent persona definitions
{project-root}/.claude/rules/{rule}.md,claude-code,all,yes,project,rules,conditional,50-500,rw,yes,yes,on-file-match,{rule},Modular instruction files (glob-matched)
{project-root}/.mcp.json,claude-code,all,yes,project,config,no,0,rw,n/a,n/a,session-start,,Project-level MCP server configuration
{project-root}/.claudeignore,claude-code,all,yes,project,ignore,no,0,read,n/a,n/a,session-start,,Files to exclude from Claude Code access (buggy enforcement)
C:\Program Files\ClaudeCode\managed-settings.json,claude-code,windows,no,global,config,no,0,read,n/a,n/a,session-start,,Managed/enterprise settings
%TEMP%\claude\{project}\{session}\scratchpad\,claude-code,windows,no,session,temp,no,0,rw,no,no,runtime,{project}=hash;{session}=uuid,Per-session scratchpad (Windows)
tmpclaude-{hex}-cwd,claude-code,all,no,session,temp,no,0,rw,no,no,per-bash-call,{hex}=4-char-hex,CWD tracking file (BUG: drops in project root)
{project-root}/tmp/attachments/,claude-code,all,no,session,temp,no,0,write,no,no,session-start,,Attachment staging dir (BUG: created in project root)
%APPDATA%\ChatGPT\,chatgpt-desktop,windows,no,global,app-data,no,0,rw,n/a,n/a,app-start,,ChatGPT desktop app data
~/.openai/.env,openai-api,all,yes,global,credentials,no,0,read,n/a,n/a,runtime,,OPENAI_API_KEY
~/.openai/config.json,openai-api,all,yes,global,config,no,0,rw,n/a,n/a,runtime,,OpenAI API settings
~/.codex/config.json,codex-cli,all,yes,global,config,no,0,rw,n/a,n/a,session-start,,Codex CLI configuration
~/.codex/instructions.md,codex-cli,all,yes,global,instructions,yes,100-2000,rw,yes,yes,every-call,,Codex CLI custom instructions (now uses AGENTS.md)
%USERPROFILE%\.gemini\GEMINI.md,gemini-cli,windows,no,global,instructions,yes,100-2000,rw,yes,yes,every-call,,Global context/instructions
{project-root}/GEMINI.md,gemini-cli,all,no,project,instructions,yes,100-5000+,rw,yes,yes,every-call,,Project-specific context (primary)
{project-root}/.geminiignore,gemini-cli,all,yes,project,ignore,no,0,read,n/a,n/a,session-start,,Project-level ignore patterns
{subdirectory}/GEMINI.md,gemini-cli,all,no,project,instructions,yes,100-2000,rw,yes,yes,on-file-access,{subdirectory},Component-specific instructions (recursive)
%USERPROFILE%\.copilot\config.json,copilot-cli,windows,no,global,config,no,0,rw,n/a,n/a,session-start,,Core CLI settings
$HOME/.copilot/copilot-instructions.md,copilot-cli,all,yes,global,instructions,yes,100-2000,rw,yes,yes,every-call,,Global personal instructions (env var path)
%APPDATA%\GitHub CLI\hosts.yml,copilot-cli,windows,no,global,credentials,no,0,read,n/a,n/a,session-start,,GitHub CLI auth tokens (Windows)
{project-root}/.github/copilot-instructions.md,copilot,all,yes,project,instructions,yes,100-5000,rw,yes,yes,every-call,,Repo-wide AI instructions
{project-root}/.github/instructions/*.instructions.md,copilot,all,yes,project,instructions,conditional,50-500,rw,yes,yes,on-file-match,applyTo glob in frontmatter,Path-specific instructions
{project-root}/.github/prompts/*.prompt.md,copilot,all,yes,project,commands,on-demand,100-1000,rw,n/a,n/a,on-invoke,,Reusable prompt templates
{project-root}/.github/git-commit-instructions.md,copilot,all,yes,project,instructions,conditional,50-300,rw,yes,yes,on-commit,,Commit message guidance
{project-root}/.github/hooks/*.json,copilot-cli,all,yes,project,hooks,no,0,read,n/a,n/a,on-hook-trigger,,Lifecycle hook configurations
{project-root}/.github/copilot/settings.json,copilot-cli,all,yes,project,config,no,0,rw,n/a,n/a,session-start,,Repo-level Copilot settings
{project-root}/.github/copilot/settings.local.json,copilot-cli,all,yes,project,config,no,0,rw,n/a,n/a,session-start,,Personal repo overrides (not committed)
{project-root}/.copilot/mcp-config.json,copilot-cli,all,yes,project,config,no,0,rw,n/a,n/a,session-start,,Project-level MCP servers
{project-root}/AGENTS.md,copilot-cli,all,no,project,instructions,yes,100-5000+,rw,yes,yes,every-call,,Cross-tool agent instructions (primary for Copilot CLI)
%USERPROFILE%\copilot-instructions.md,copilot-vs,windows,no,global,instructions,yes,100-2000,rw,yes,yes,every-call,,VS user-level preferences (Windows)
%LOCALAPPDATA%\github-copilot\intellij\global-copilot-instructions.md,copilot-jetbrains,windows,no,global,instructions,yes,100-2000,rw,yes,yes,every-call,,JetBrains global instructions (Windows)
%APPDATA%\Cursor\User\globalStorage\state.vscdb,cursor,windows,no,global,database,no,0,rw,n/a,n/a,app-start,,SQLite settings database (Windows)
%APPDATA%\Cursor\CachedData\{version}\,cursor,windows,no,global,cache,no,0,rw,n/a,n/a,runtime,{version}=hash,Per-version cache (never auto-cleaned)
%USERPROFILE%\.cursor\extensions\,cursor,windows,no,global,extensions,no,0,rw,n/a,n/a,app-start,,Extension installations (Windows)
{project-root}/.cursorrules,cursor,all,yes,project,instructions,yes,100-5000+,rw,yes,yes,every-call,,Legacy project AI rules (injected into system prompt)
{project-root}/.cursor/rules/*.md,cursor,all,yes,project,rules,conditional,50-500,rw,yes,yes,on-file-match/always/mention,,Modern granular rule files (.md format)
{project-root}/.cursor/rules/*.mdc,cursor,all,yes,project,rules,conditional,50-500,rw,yes,yes,on-file-match/always/mention,,Legacy granular rule files (.mdc format — older Cursor versions)
{project-root}/.cursorignore,cursor,all,yes,project,ignore,no,0,read,n/a,n/a,session-start,,Files excluded from AI context/indexing
%USERPROFILE%\.codeium\windsurf\memories\global_rules.md,windsurf,windows,no,global,instructions,yes,100-2000,rw,yes,yes,every-call,,Global AI guidelines (Windows)
%USERPROFILE%\.codeium\windsurf\mcp_config.json,windsurf,windows,no,global,config,no,0,rw,n/a,n/a,app-start,,MCP server configuration (Windows)
{project-root}/.windsurfrules,windsurf,all,yes,project,instructions,yes,100-5000+,rw,yes,yes,every-call,,Legacy project-wide AI rules
{project-root}/.windsurf/rules/*.md,windsurf,all,yes,project,rules,conditional,50-500,rw,yes,yes,on-match/always/mention,,Modern granular rules (Wave 8+)
{project-root}/.codeiumignore,windsurf,all,yes,project,ignore,no,0,read,n/a,n/a,app-start,,Project-level file exclusions
{project-root}/cascade-memories/,windsurf,all,no,project,memory,partial,varies,rw,n/a,n/a,runtime,,"Cascade-generated memories (auto, in project root)"
%USERPROFILE%\.openclaw\openclaw.json,openclaw,windows,no,global,config,no,0,rw,n/a,n/a,gateway-start,,Main configuration (Windows)
{project-root}/openclaw.config.json,openclaw,all,no,project,config,no,0,rw,n/a,n/a,gateway-start,,Project-specific config (merges with global)
%USERPROFILE%\.config\opencode\opencode.json,opencode,windows,no,global,config,no,0,rw,n/a,n/a,session-start,,Global config (Windows)
{project-root}/opencode.json,opencode,all,no,project,config,no,0,rw,n/a,n/a,session-start,,Project config (merges with global)
{project-root}/AGENTS.md,opencode,all,no,project,instructions,yes,100-5000+,rw,yes,yes,every-call,,Project instructions (primary)
{project-root}/.opencode/agents/{agent}.md,opencode,all,yes,project,agent,on-demand,200-500,rw,n/a,n/a,on-delegation,{agent},Project-specific agents
{project-root}/.opencode/commands/{command}.md,opencode,all,yes,project,commands,on-demand,50-500,rw,n/a,n/a,on-invoke,{command},Project-specific commands
{project-root}/.ignore,opencode,all,yes,project,ignore,no,0,read,n/a,n/a,session-start,,Override .gitignore — allow excluded files back into context
{project-root}/AGENTS.md,cross-tool,all,no,project,instructions,yes,100-5000+,rw,yes,yes,every-call,,"Cross-tool standard (Copilot CLI, Gemini, Codex, OpenCode)"
{project-root}/CLAUDE.md,cross-tool,all,no,project,instructions,yes,100-5000+,rw,yes,yes,every-call,,"Claude-specific (also read by Copilot CLI, OpenCode)"
{project-root}/GEMINI.md,cross-tool,all,no,project,instructions,yes,100-5000+,rw,yes,yes,every-call,,"Gemini-specific (also read by Copilot CLI, OpenCode)"
~/.aider/.aider.conf.yml,aider,all,yes,global,config,no,0,rw,n/a,n/a,session-start,,Aider global config
{project-root}/.aider.conf.yml,aider,all,yes,project,config,no,0,rw,n/a,n/a,session-start,,Aider project config
{project-root}/.aiderignore,aider,all,yes,project,ignore,no,0,read,n/a,n/a,session-start,,Files to exclude from Aider
{project-root}/.aider.tags.cache.v3/,aider,all,yes,project,cache,no,0,rw,n/a,n/a,runtime,,Code indexing cache
~/.continue/config.yaml,continue,all,yes,global,config,no,0,rw,n/a,n/a,session-start,,Continue extension config
~/.continue/.env,continue,all,yes,global,credentials,no,0,read,n/a,n/a,session-start,,Continue API keys
{project-root}/.continuerules,continue,all,yes,project,instructions,yes,100-2000,rw,yes,yes,every-call,,Continue project-specific rules
{project-root}/.continueignore,continue,all,yes,project,ignore,no,0,read,n/a,n/a,session-start,,Files to exclude from Continue
{project-root}/.junie/guidelines.md,junie,all,yes,project,instructions,yes,100-2000,rw,yes,yes,every-call,,JetBrains Junie project configuration
~/.tabnine/tabnine_config.json,tabnine,all,yes,global,config,no,0,rw,n/a,n/a,app-start,,Tabnine global configuration
%USERPROFILE%\.claude.json,claude-code,windows,no,global,config,no,0,rw,n/a,n/a,session-start,,User-scoped MCP servers and account config (Windows)
{project-root}/.lsp.json,claude-code,all,yes,project,config,no,0,rw,n/a,n/a,session-start,,Language server configuration (project-level)
{project-root}/.github/agents/*.agent.md,copilot,all,yes,project,agent,on-demand,200-500,rw,n/a,n/a,on-delegation,,Custom agent definitions (repo-level; also available at org level)
{project-root}/.github/skills/{skill}/SKILL.md,copilot-cli,all,yes,project,skills,on-demand,50-500,rw,n/a,n/a,on-invoke,{skill},Copilot CLI skill definitions (project-level)
{project-root}/.copilot-mcp.json,copilot-cli,all,yes,project,config,no,0,rw,n/a,n/a,session-start,,Alternative project-level MCP config (alternative to .copilot/mcp-config.json)
{project-root}/.vscode/settings.json,copilot-vscode,all,yes,project,config,no,0,rw,n/a,n/a,app-start,,VS Code workspace settings (Copilot config lives here)
{project-root}/.vscode/extensions.json,copilot-vscode,all,yes,project,config,no,0,read,n/a,n/a,app-start,,Recommended extensions list (includes Copilot)
%APPDATA%\Code\User\settings.json,copilot-vscode,windows,no,global,config,no,0,rw,n/a,n/a,app-start,,VS Code global user settings (Windows)
%USERPROFILE%\.vscode\extensions\github.copilot*\package.json,copilot-vscode,windows,no,global,extensions,no,0,read,n/a,n/a,app-start,,Copilot extension manifest (Windows)
{project-root}/.cursor/mcp.json,cursor,all,yes,project,config,no,0,rw,n/a,n/a,app-start,,Project-level MCP server configuration (Cursor-specific)
%APPDATA%\Cursor\User\settings.json,cursor,windows,no,global,config,no,0,rw,n/a,n/a,app-start,,Cursor global user settings (Windows)
{project-root}/.windsurf/mcp.json,windsurf,all,yes,project,config,no,0,rw,n/a,n/a,app-start,,Project-level MCP server configuration (Windsurf-specific)
{project-root}/.env,project-env,all,yes,project,credentials,no,0,read,n/a,n/a,runtime,,Environment variables (read by most AI tools and frameworks)
{project-root}/.envrc,project-env,all,yes,project,credentials,no,0,read,n/a,n/a,runtime,,direnv environment config (auto-loaded on cd)
{project-root}/.env.local,project-env,all,yes,project,credentials,no,0,read,n/a,n/a,runtime,,Local env overrides (Next.js and other frameworks)
{project-root}/.env.development,project-env,all,yes,project,credentials,no,0,read,n/a,n/a,runtime,,Development environment variables
{project-root}/.context.aictx,aictl,all,yes,project,config,no,0,rw,n/a,n/a,session-start,,aictl project context file
{project-root}/.ai-deployed/manifest.json,aictl,all,yes,project,runtime,no,0,rw,n/a,n/a,runtime,,aictl deployment manifest
{project-root}/skprompt.txt,semantic-kernel,all,no,project,instructions,yes,100-2000,rw,yes,yes,every-call,,Semantic Kernel prompt template file
{project-root}/appsettings.json,semantic-kernel,all,no,project,config,no,0,rw,n/a,n/a,app-start,,Semantic Kernel / .NET app settings (AI config section)
{project-root}/flow.dag.yaml,azure-promptflow,all,no,project,config,no,0,rw,n/a,n/a,runtime,,Azure PromptFlow DAG flow definition
{project-root}/flow.flex.yaml,azure-promptflow,all,no,project,config,no,0,rw,n/a,n/a,runtime,,Azure PromptFlow flex flow definition
{project-root}/.promptflow/,azure-promptflow,all,yes,project,config,no,0,rw,n/a,n/a,runtime,,Azure PromptFlow local config directory
{project-root}/azure.yaml,azure-ai,all,no,project,config,no,0,rw,n/a,n/a,runtime,,Azure Developer CLI (azd) project config
{project-root}/.azure/,azure-ai,all,yes,project,runtime,no,0,rw,n/a,n/a,runtime,,Azure Developer CLI local state directory
{project-root}/local.settings.json,azure-ai,all,no,project,config,no,0,rw,n/a,n/a,runtime,,Azure Functions local settings (connection strings and keys)
{project-root}/teamsapp.yml,copilot365,all,no,project,config,no,0,rw,n/a,n/a,runtime,,Microsoft 365 Copilot Teams app manifest
{project-root}/aad.manifest.json,copilot365,all,no,project,config,no,0,rw,n/a,n/a,runtime,,Azure AD / Entra ID app registration manifest
{project-root}/.fx/,copilot365,all,yes,project,config,no,0,rw,n/a,n/a,runtime,,Teams Toolkit project config directory
{project-root}/.vscode/mcp.json,copilot-vscode,all,yes,project,config,no,0,rw,n/a,n/a,app-start,,VS Code workspace MCP server configuration (Copilot agent mode)
